,Census Tract ID,Lon,Lat,Distance from CBD,Number of historical sites,Change in children,Change in households,Moved recently,Working women change
101,8031005102,-104.92415801399994,39.67846945000008,5.913649862097856,1,-926.877,-940.0,88.0,174.62
102,8031005104,-104.9316970989999,39.68934189100008,5.081144368263593,1,322.45000000000005,389.0,258.0,1481.636
103,8031004002,-104.94068135899994,39.66714700000006,6.076120052383024,1,-52.08799999999985,-68.0,175.0,238.707
104,8031006810,-104.8800914819999,39.65305797000008,8.786469516033584,1,-104.71600000000007,-172.0,76.0,260.72
105,8031006811,-104.8940206129999,39.667587697000044,7.550747351549322,1,-123.58000000000004,-92.0,101.0,529.9200000000001
106,8031006812,-104.92107282099994,39.660466203000055,7.010583314219496,1,-70.774,-105.0,9.0,18.033999999999992
107,8031006813,-104.86598440599994,39.66389349900004,8.832521158292398,1,-1464.103,-272.0,123.0,-215.43200000000002
108,8031006814,-104.88504961799993,39.66749249900005,7.901070007180594,1,573.24,310.0,309.0,576.4499999999999
109,8031006901,-104.90563805999994,39.67844103500005,6.584114379178791,1,-1098.753,-421.0,133.0,-2.49899999999991
110,8031007006,-104.85572919299995,39.66044106000004,9.408050037415741,1,41.281000000000006,123.0,60.0,494.466
111,8031007013,-104.89937407699995,39.68375336200006,6.5874487214270205,1,1116.752,556.0,314.0,2210.756
112,8031007037,-104.86597377399994,39.710486839000055,7.2404709931321065,1,-352.485,-458.0,292.0,-1705.3120000000004
113,8031007088,-104.89280604599992,39.711370446000046,5.884107357646005,2,52.42400000000009,-303.0,207.0,-476.55999999999995
114,8031007089,-104.89251823899991,39.71142026800004,5.896866945024951,1,-557.5899999999999,-636.0,95.0,-1662.906
115,8031008304,-104.83551444299991,39.798010195000074,9.220485761910055,1,262.90999999999997,-275.0,300.0,167.87
116,8031008305,-104.82003807599995,39.798246187000075,9.987742207916805,1,578.9540000000001,-54.0,126.0,305.6289999999999
117,8031008306,-104.83291391599994,39.78238182200005,8.980321831754525,1,-654.203,-291.0,163.0,-286.4240000000002
118,8031005200,-104.91091998799993,39.682074654000075,6.207480900910343,1,52.53200000000015,-690.0,339.0,-259.81999999999994
119,8031005300,-104.92980693099992,39.67342694700005,6.009639700722888,1,-31.14399999999989,-212.0,146.0,1136.218
120,8031005502,-105.03461525699993,39.65327592400007,6.66991372924331,1,557.065,-401.0,141.0,1167.386
121,8031005503,-105.0368279459999,39.63850932400004,7.675633205351378,2,-715.9000000000001,114.0,108.0,-97.60000000000014
122,8031006701,-104.90391556399993,39.626315014000056,9.49311107676936,1,-157.84200000000004,-185.0,79.0,-504.44799999999987
123,8031006804,-104.88511883399991,39.63626846000005,9.48822323736815,1,1012.3120000000001,-660.0,172.0,-696.6920000000002
124,8031006809,-104.90080202399992,39.653111531000036,8.057600435767435,1,-1289.251,-795.0,357.0,649.856
125,8031011903,-105.0744907269999,39.67021715900006,6.686419363807338,1,1099.94,226.0,503.0,1199.972
126,8031012001,-105.05314829299994,39.65315993100006,7.056725033731881,1,788.8000000000002,322.0,343.0,907.16
127,8031012010,-105.06001136599991,39.638754506000055,8.11060586761608,1,559.8519999999999,-219.0,324.0,473.544
128,8031012014,-105.08662182899991,39.630439710000076,9.297313041683251,1,-939.3940000000002,-229.0,263.0,945.138
129,8031015300,-104.92931080499994,39.70203705400007,4.5544476913720695,1,-453.4399999999996,-47.0,345.0,1880.864
130,8031015400,-105.02995910399994,39.792031500000064,3.766606032448877,2,3269.9219999999996,536.0,904.0,1789.96
131,8031015500,-104.93403913899994,39.69840024200005,4.539191593416151,1,2273.2659999999996,583.0,632.0,2240.851
132,8031015600,-105.00407881599995,39.682203547000086,4.3512426595449964,2,1281.2440000000001,-396.0,568.0,1932.29
133,8031015700,-105.0251084809999,39.66771596800004,5.565983005039061,1,1454.77,297.0,603.0,1352.616
134,8031980000,-104.6685471369999,39.906920885000034,20.62855823078551,2,154.27999999999997,-62.0,85.0,26.66999999999996
135,8031980100,-104.84703347999994,39.77410619500006,8.102963825356444,1,-474.8,-625.0,116.0,16.605999999999995
136,8031008312,-104.82495361499991,39.77950012600007,9.334201790587409,1,-499.35800000000006,38.0,153.0,1675.594
