LDMK_NUM,LDMK_NAME,AKA_NAME,ORD_NUM,ORD_YEAR,ADDRESS_LINE1,ADDRESS_LINE2,SITUS_NUM,SITUS_DIR,SITUS_ST,SITUS_TYPE,HISTORIC_DIST,STATE_HIST_NUM,YEAR_BUILT,ARCH_BLDR,DOCUMENT,PHOTO_LINK,NOTES,GIS_NOTES,DESCRIPTION,ADDRESS_ID
205.0,Huddart/Lydon House,None,15,1993,2418 Stout Street,None,2418,None,Stout,ST,Curtis Park 'A',5DV.103.15,1891,None,None,yes, ,None,None,None
206.0,La Paz 10 Pool Hall / Douglas Undertaking Building,None,237,1993,2745 Welton Street,None,2745,None,Welton,ST,Five Points,5DV.751,"c. 1892, facade 1915",None,None,yes, ,None,None,None
214.0,Denver Dry Goods Building,None,57,1994,700 16th Street,"700-14 16th St. 1545-85 California St., 703-49 15th St.",700,None,16th,ST,Downtown Denver,5DV.135,1888-89 (See Notes),None,None,yes,"Yr. Built - additions1898,1907,1994",None,None,None
225.0,American National Bank Building,None,754,1994,818 17th Street,None,818,None,17th,ST,Downtown Denver,5DV.1727,1910,None,None,yes, ,None,None,None
300.0,The Colonnade Building,None,378,2000,"1210 E. Colfax Avenue, 1464 Marion Street",None,1210,E,Colfax,AVE,Not in Historic District,5DV.2611,"1902, alteration 1984",None,None,yes, ,None,None,None
304.0,Hamilton Apartment Building,None,313,2002,1475 Humboldt Street,None,1475,None,Humboldt,ST,Not in Historic District,5DV.2658,1908,None,None,yes, ,None,None,None
311.0,Denver Union Station,None,705,2004,1701-1777 Wynkoop Street,None,1701,None,Wynkoop,ST,Not in Historic District,5DV.114,"1881, 1894 and 1914",None,None,yes, ,None,None,None
314.0,Tammen Hall,None,399,2005,1010 E. 19th Avenue,None,1010,E,19th,AVE,Not in Historic District,5DV.166.2,1930-32,None,None,yes, ,None,None,None
313.0,Doyle Benton House,None,292,2005,1301 Lafayette Street,None,1301,N,Lafayette,ST,Not in Historic District,5DV.9200,1896,None,None,None, ,None,None,None
315.0,Catherine Mullen Nurses Home,None,27,2006,1895 Franklin Street,None,1895,N,Franklin,ST,Not in Historic District,None,1932-33,None,None,yes, ,None,None,None
235.0,Fire Station No. 3,None,982,1994,2500 Washington Street,None,2500,None,Washington,ST,Five Points,5DV.9361,1931,None,None,yes, ,None,None,None
238.0,Feldhauser (Baldwin) Building,Baldwin Building,85,1995,1617-1623 California Street,None,1617,None,California,ST,Downtown Denver,5DV.498,c. 1895,None,None,yes, ,None,None,None
71.0,3205 W. 21st Avenue,Half-Moon House,689,1974,3205 W. 21st Avenue,None,3205,W,21st,AVE,Witter-Cofield,5DV.6140,c. 1888,None,None,yes,None,None,None,None
70.0,Raymond House,Castle Marne,736,1974,1572 Race Street,None,1572,None,Race,ST,Wyman,5DV.123,1890,None,None,yes,None,None,None,None
74.0,Malo House,None,72,1975,500 E. 8th Avenue,None,500,E,8th,AVE,East 7th Avenue,5DV.952,1921,None,None,yes, ,None,None,None
75.0,John Porter House,None,72,1975,777 Pearl Street,None,777,None,Pearl,ST,East 7th Avenue,None,1923,None,None,yes, ,None,None,None
79.0,1200 Pennsylvania Street,Dunning-Benedict House,244,1975,1200 Pennsylvania Street,None,1200,None,Pennsylvania,ST,Pennsylvania Street,5DV.803,1889,None,None,yes,None,None,None,None
